Nom du festival;Région principale de déroulement;Département principal de déroulement;Code postal (de la commune principale de déroulement);Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Identifiant;Géocodage xy
Jour de danse;Bourgogne-Franche-Comté;Doubs;25000;2010;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_25056_773;47.2553872249, 6.01948696494
Lyncéus Festival;Bretagne;Côtes-d'Armor;22680;2014;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_22055_827;48.6255350477, -2.8413899481
BD Boum 38;Centre-Val de Loire;Loir-et-Cher;41000;1984;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_41018_859;47.5817013938, 1.30625551583
Nautic & music;Corse;Corse-du-Sud;20169;2009;Musique;Après-saison (6 septembre - 31 décembre);FEST_2A041_884;41.4354987425, 9.18514890376
Festival Chapeau les artistes;Occitanie;Hérault;34770;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_34113_2398;43.4940932526, 3.72353998798
Festival Tandem;Nouvelle-Aquitaine;Gironde;33610;1999;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_33090_1201;44.7598891584, -0.65697711026
Nuit Polar;Centre-Val de Loire;Indre;36000;2014;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_36044_1553;46.8029617828, 1.69399812001
Les arts en balade;Auvergne-Rhône-Alpes;Puy-de-Dôme;63000;1995;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);FEST_63113_1680;45.7856492991, 3.11554542903
Les Rencontres A Lire;Nouvelle-Aquitaine;Landes;40100;2009;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_40088_1926;43.7006746973, -1.06014429759
La Nouvelle Dimension – 48 images seconde;Occitanie;Lozère;48400;2009;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_48061_2237;44.3162079295, 3.58273527435
Les Flûtinades;Grand Est;Haut-Rhin;68330;2014;Musique;Avant-saison (1er janvier - 20 juin);FEST_68149_2592;47.5888753858, 7.58124251727
Autour du polar - Salon du livre;Île-de-France;Seine-et-Marne;77140;01/01/2017 00:00;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_77333_4347;48.2596067909, 2.71107993087
Couleurs jazz festival;Bourgogne-Franche-Comté;Jura;39000;2012;Musique;Saison (21 juin - 5 septembre);FEST_39300_3431;46.6744796278, 5.55733212947
Festival international des musiques juives;Auvergne-Rhône-Alpes;Métropole de Lyon;69000;;Musique;Après-saison (6 septembre - 31 décembre);FEST_69123_3535;45.759723, 4.842223
Festival BD Martel;Occitanie;Lot;46600;;Livre, littérature;Saison (21 juin - 5 septembre);FEST_46185_3793;44.9401536689, 1.60734355344
Festival chrétien de cinéma;Occitanie;Hérault;34000;1998;Livre, littérature;avant-saison (1er janvier - 20 juin);FEST_34172_4081;43.6134409138, 3.86851657896
Festival folies d'O;Occitanie;Hérault;34090;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_34172_4087;43.6134409138, 3.86851657896
Montpellier Danse;Occitanie;Hérault;34000;1981;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_34172_4113;43.6134409138, 3.86851657896
Le mois de la photo en Nièvre;Bourgogne-Franche-Comté;Nièvre;58000;2012;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_58194_4371;46.9881194908, 3.15689130958
Festival de musique;Provence-Alpes-Côte d'Azur;Var;83190;2002;Musique;Saison (21 juin - 5 septembre);FEST_83090_4512;43.1386133658, 5.85369204547
Récidive 1940;Centre-Val de Loire;Loiret;45100;2020;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_45234_4551;47.8828634214, 1.91610357477
All Stars;Île-de-France;Paris;75010;01/01/2006 00:00;Musique;Saison (21 juin - 5 septembre);FEST_75110_4614;48.8760285569, 2.36111290456
Kiosquorama;Île-de-France;Paris;75001;2008;Musique;Saison (21 juin - 5 septembre);FEST_75110_4901;48.8567, 2.3508
33/600 Comedy;Nouvelle-Aquitaine;Gironde;33600;2015;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_33318_4995;44.7915990521, -0.676303166277
Rock Is Bac';Nouvelle-Aquitaine;Gironde;33000;2018;Musique;Après-saison (6 septembre - 31 décembre);FEST_33063_930;44.8572445351, -0.57369678116
PCV;Auvergne-Rhône-Alpes;Loire;42000;;Musique;Avant-saison (1er janvier - 20 juin);FEST_42218_5823;45.4301235512, 4.37913997076
Calvi on the Rocks;Corse;Haute-Corse;20260;;Musique;Saison (21 juin - 5 septembre);FEST_2B050_1185;42.5454874755, 8.7595487404
Embarquement Immediat;La Réunion;La Réunion;97436;2015;Livre, littérature;Juillet;FEST_97413_5976;-21.1665966424, 55.3331335776
Festival des jazz;Provence-Alpes-Côte d'Azur;Var;83701;1981;Musique;Saison (21 juin - 5 septembre);FEST_83118_6144;43.4574625431, 6.84734210398
Reconstruisons la cimenterie;Bretagne;Morbihan;56450;;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_56251_6540;47.6356885267, -2.64682620132
Tribal Elek Festival;Nouvelle-Aquitaine;Charente-Maritime;17170;2010;Musique;Saison (21 juin - 5 septembre);FEST_17008_210;46.2630044811, -1.01765756102
Fête du livre du Var;Provence-Alpes-Côte d'Azur;Var;83076;2013;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_83137_6608;43.1361589728, 5.93239634249
CEP Party;Pays de la Loire;Loire-Atlantique;44330;2003;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_44212_6901;47.1715153308, -1.26146566077
Versailles Jazz Festival;Île-de-France;Yvelines;78000;01/01/2004 00:00;Musique;Avant-saison (1er janvier - 20 juin);FEST_78646_7013;48.8025669671, 2.11789297191
Bulles en Champagne;Grand Est;Marne;51300;2005;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_51649_7174;48.728201078, 4.59222371874
Un festival c'est trop court;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6000;2000;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_06088_4411;43.7119992661, 7.23826889465
Des Rives et des Notes;Nouvelle-Aquitaine;Pyrénées-Atlantiques;64400;1994;Musique;Saison (21 juin - 5 septembre);FEST_64422_4518;43.1560871189, -0.587546244432
Ain'pro Visa;Auvergne-Rhône-Alpes;Ain;1190;2015;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_01305_5150;46.4422864477, 4.92862459427
Sunnyside Festival;Grand Est;Marne;51100;2015;Musique;Après-saison (6 septembre - 31 décembre);FEST_51454_5340;49.2514906066, 4.0402302322
D'une cour à l'autre;Auvergne-Rhône-Alpes;Ardèche;7170;2012;Musique;Avant-saison (1er janvier - 20 juin);FEST_07341_7105;44.549017078, 4.50337369457
Conqu'en Oc;Occitanie;Aude;11600;2015;Musique;Avant-saison (1er janvier - 20 juin);FEST_11099_1803;43.2842108379, 2.38445720467
L'air du temps;Centre-Val de Loire;Cher;18160;1991;Musique;Avant-saison (1er janvier - 20 juin);FEST_18127_3309;46.7617210337, 2.20479418633
Tournée Générale;Île-de-France;Paris;75012;;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_75112_4876;48.8351562307, 2.41980703497
Le carré des écrivains;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13001;1992;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_13055_3734;43.296346, 5.369889
Mimi;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13003;1986;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_13055_3757;43.296346, 5.369889
Contrebande;Grand Est;Ardennes;8500;1984;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_08363_5428;49.9343612918, 4.69218802167
Buëch-durance;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5400;2012;Musique;Après-saison (6 septembre - 31 décembre);FEST_05179_7029;44.5571529708, 5.82286002514
Festiv'ete;Auvergne-Rhône-Alpes;Ain;1300;2009;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_01034_738;45.7494697806, 5.68412365526
Footsbarn en Fête;Auvergne-Rhône-Alpes;Allier;3190;2013;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_03158_3613;46.4928636302, 2.65852361334
Atmosphère Caraïbe;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13011;;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_13055_3686;43.296346, 5.369889
Labyrinthe de la voix;Nouvelle-Aquitaine;Haute-Vienne;87600;2003;Musique;Saison (21 juin - 5 septembre);FEST_87126_5457;45.8236032815, 0.84280512319
Lecture en fête;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6190;1998;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_06104_5493;43.7638278953, 7.4587361611
Festival de Vouziers;Grand Est;Ardennes;8400;1986;Musique;Après-saison (6 septembre - 31 décembre);FEST_08490_7203;49.4000316087, 4.70126283768
Théâtre côté cour;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13300;1989;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_13103_6215;43.6462885238, 5.06814649576
La Ferme Electrique;Île-de-France;Seine-et-Marne;77220;01/01/2010 00:00;Musique;Saison (21 juin - 5 septembre);FEST_77470_6713;48.739865817, 2.77820566994
Chorus;Île-de-France;Hauts-de-Seine;92100;01/01/1989 00:00;Musique;Avant-saison (1er janvier - 20 juin);FEST_92012_954;48.8365843138, 2.23913599058
Les rencontres de création in situ;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13200;;Livre, littérature;Saison (21 juin - 5 septembre);FEST_13004_353;43.5468692378, 4.66215642574
Loches en voix;Centre-Val de Loire;Indre-et-Loire;37600;2010;Musique;Saison (21 juin - 5 septembre);FEST_37132_3414;47.1201464232, 0.97415185088
Yaouank;Bretagne;Ille-et-Vilaine;35000;;Musique;Après-saison (6 septembre - 31 décembre);FEST_35238_5417;48.1119791219, -1.68186449144
Ti'Stival;Occitanie;Ariège;9230;2006;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_09257_5767;43.1197309589, 1.17100553891
Festival de Poupet;Pays de la Loire;Vendée;85590;1987;Musique;Saison (21 juin - 5 septembre);FEST_85240_6013;46.9248120291, -0.914182961099
Artefacts Festival;Grand Est;Bas-Rhin;67000;01/01/1996 00:00;Musique;Après-saison (6 septembre - 31 décembre);FEST_67482_6423;48.5712679849, 7.76752679517
Rencontres musicales de Vézelay;Bourgogne-Franche-Comté;Yonne;89400;2000;Musique;Saison (21 juin - 5 septembre);FEST_89446_7031;47.4524539513, 3.71058845441
Atout Coeurs;Nouvelle-Aquitaine;Landes;40280;2002;Musique;Avant-saison (1er janvier - 20 juin);FEST_40037_741;43.8221288864, -0.507091491966
Ça sonne à la porte (CSALP);Normandie;Eure;27220;2006;Musique;Avant-saison (1er janvier - 20 juin);FEST_27301_2508;48.9401893709, 1.18649118902
Jazz au coeur et guitare à l'âme;Île-de-France;Hauts-de-Seine;92130;01/01/1991 00:00;Musique;Saison (21 juin - 5 septembre);FEST_92040_2633;48.82347434, 2.26449823277
Les Jeudis de l'été;Pays de la Loire;Sarthe;72400;2016;Musique;Saison (21 juin - 5 septembre);FEST_72132_2761;48.1842560568, 0.634694806211
Montélimar Agglo festival;Auvergne-Rhône-Alpes;Drôme;26200;2007;Musique;Saison (21 juin - 5 septembre);FEST_26198_4021;44.5540845734, 4.74869387765
Fête du Livre – Soulac-Sur-Mer;Nouvelle-Aquitaine;Gironde;33780;2002;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_33514_6406;45.493296382, -1.10918123147
Festival des Anches d'Azur;Provence-Alpes-Côte d'Azur;Var;83420;1997;Musique;Saison (21 juin - 5 septembre);FEST_83048_2755;43.1951890718, 6.5862813598
Festivale de théâtre de rue;Provence-Alpes-Côte d'Azur;Var;83980;2011;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_83070_3108;43.1656102964, 6.41231277863
Roc'h Holoch;Bretagne;Finistère;29450;;Musique;Saison (21 juin - 5 septembre);FEST_29294_3199;48.3938578197, -4.12922038869
Dub Camp;Pays de la Loire;Loire-Atlantique;44440;2015;Musique;Saison (21 juin - 5 septembre);FEST_44077_2674;47.5092437538, -1.42943494948
Saperlipopette;Occitanie;Hérault;34000;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_34172_4118;43.6134409138, 3.86851657896
Châteauneuf sous les étoiles;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6730;;Musique;Saison (21 juin - 5 septembre);FEST_06038_1539;43.6656345765, 6.9791405929
Les rockailles;Auvergne-Rhône-Alpes;Haute-Savoie;74930;;Musique;Saison (21 juin - 5 septembre);FEST_74220_5313;46.1353479879, 6.26126122824
Détours en Cinécourt;Occitanie;Haute-Garonne;31180;1997;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_31484_5603;43.6848850771, 1.48047033439
Place aux nouvelles;Occitanie;Tarn-et-Garonne;82110;2005;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_82094_3016;44.2642995725, 1.12713270139
Festival international du film de Saint-Jean-de-Luz;Nouvelle-Aquitaine;Pyrénées-Atlantiques;64500;2012;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_64483_5928;43.3947886873, -1.63099021573
Festival du film de Saint-Paul-Trois-Châteaux;Auvergne-Rhône-Alpes;Drôme;26130;1988;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_26324_6101;44.3482808478, 4.75744934383
Fifres de Garonne;Nouvelle-Aquitaine;Gironde;33490;1991;Musique;Saison (21 juin - 5 septembre);FEST_33463_6116;44.5791928369, -0.192914222319
Biltzar des Écrivains du Pays Basque;Nouvelle-Aquitaine;Pyrénées-Atlantiques;64310;1984;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_64504_6239;43.296231493, -1.58652920554
MusicaSens;Bourgogne-Franche-Comté;Yonne;89100;2009;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_89387_6328;48.1956727015, 3.29793332552
Films femmes Méditerranée;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13000;2006;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_13055_3723;43.296346, 5.369889
Alpin'Dub;Auvergne-Rhône-Alpes;Isère;38570;;Musique;Saison (21 juin - 5 septembre);FEST_38504_6544;45.2975465976, 6.01339575189
Liberté + in&out toulon;Provence-Alpes-Côte d'Azur;Var;83000;2020;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_83137_6613;43.1361589728, 5.93239634249
Kinopolska;Occitanie;Haute-Garonne;31100;2008;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_31555_6678;43.5963814303, 1.43167293364
Les folies vocales d'Agen;Nouvelle-Aquitaine;Lot-et-Garonne;47000;2017;Musique;Avant-saison (1er janvier - 20 juin);FEST_47001_13;44.2028139104, 0.625583928763
Les nuits pianistiques;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13100;;Musique;Saison (21 juin - 5 septembre);FEST_13001_62;43.5360708378, 5.39857444582
La ronde des copains du monde;Auvergne-Rhône-Alpes;Puy-de-Dôme;63600;;Musique;Saison (21 juin - 5 septembre);FEST_63003_170;45.5557839461, 3.75625356567
Premiers Plans;Pays de la Loire;Maine-et-Loire;49100;1989;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_49007_222;47.476837416, -0.556125995444
Imperial Live festival;Auvergne-Rhône-Alpes;Haute-Savoie;74000;2016;Musique;Saison (21 juin - 5 septembre);FEST_74010_261;45.8906432566, 6.12551773598
Arras film festival;Hauts-de-France;Pas-de-Calais;62000;2000;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_62041_373;50.2898964997, 2.76587316711
Big Bang Festival;Île-de-France;Seine-Saint-Denis;93300;2013;Musique;Après-saison (6 septembre - 31 décembre);FEST_93001_420;48.9121722626, 2.38445513768
Urban Spaces - Rencontres des cultures urbaines;Normandie;Calvados;14400;2008;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_14047_659;49.2776559195, -0.704625495378
Les Nuits Magiques. Festival international du Film d'animation;Nouvelle-Aquitaine;Gironde;33130;1990;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_33039_716;44.8016009051, -0.547755768448
Chahuts;Nouvelle-Aquitaine;Gironde;33000;1992;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_33063_897;44.8572445351, -0.57369678116
Les arts à l'œuvre;Auvergne-Rhône-Alpes;Puy-de-Dôme;63760;2005;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_63048_1001;45.6572710215, 2.56278019812
Off en Salle du Festival Mondial des Théâtres de Marionnettes;Grand Est;Ardennes;8000;1974;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_08105_1487;49.7752965803, 4.71724655966
D'aujourd'hui à demain;Bourgogne-Franche-Comté;Saône-et-Loire;71250;2002;Musique;Saison (21 juin - 5 septembre);FEST_71137_1707;46.4303628582, 4.67033276327
Rencontres Internationales de la Guitare;Île-de-France;Hauts-de-Seine;92160;01/01/1993 00:00;Musique;Avant-saison (1er janvier - 20 juin);FEST_92002_290;48.7503412602, 2.2993268102
Festival de musique country;Auvergne-Rhône-Alpes;Haute-Loire;43500;1983;Musique;Saison (21 juin - 5 septembre);FEST_43080_1869;45.3318549451, 3.85314004519
Les infaillibles;Hauts-de-France;Oise;60100;2020;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_60175_1874;49.2533487138, 2.48472669359
Festival Cinéfeuille au fil de l'eau;Occitanie;Tarn;81600;;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_81099_2342;43.9170968776, 1.88647213801
Biennale de Gentilly;Île-de-France;Val-de-Marne;94250;2015;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);FEST_94037_2379;48.8132044389, 2.34420659702
Jarnac Au Cœur du Blues;Nouvelle-Aquitaine;Charente;16200;1994;Musique;Saison (21 juin - 5 septembre);FEST_16167_2652;45.6865355311, -0.164780604405
Festival d'orgue et de musique ancienne;Centre-Val de Loire;Loiret;45260;1987;Musique;Après-saison (6 septembre - 31 décembre);FEST_45187_3455;47.86274799, 2.49842209081
Rolling Saône;Bourgogne-Franche-Comté;Haute-Saône;70100;1987;Musique;Avant-saison (1er janvier - 20 juin);FEST_70279_2448;47.4320889937, 5.61070658545
Festival du Nez rouge;Bourgogne-Franche-Comté;Doubs;25200;1995;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_25388_3997;47.5155169816, 6.79148147353
Femmes Modernes;Centre-Val de Loire;Loiret;45000;2019;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_45234_4537;47.8828634214, 1.91610357477
DDESSIN{20};Île-de-France;Paris;75002;2012;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);FEST_75102_4657;48.8567, 2.3508
Rencontres du cinéma latino-américain;Nouvelle-Aquitaine;Gironde;33600;1983;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_33318_5000;44.7915990521, -0.676303166277
Les Parenthèses de Pornic;Pays de la Loire;Loire-Atlantique;44210;2019;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_44131_5179;47.1223972452, -2.05182334479
Courts dans la vallée;Occitanie;Hérault;34390;2005;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_34219_5217;43.5395150426, 2.82265477
Echap Festival;Bretagne;Finistère;29300;;Musique;Saison (21 juin - 5 septembre);FEST_29233_5273;47.8561303355, -3.55642894655
La Bogue d'Or;Bretagne;Ille-et-Vilaine;35600;1975;Musique;Après-saison (6 septembre - 31 décembre);FEST_35236_5307;47.6609734327, -2.08008568692
Jazz à l'Ouest;Bretagne;Ille-et-Vilaine;35200;1990;Musique;Après-saison (6 septembre - 31 décembre);FEST_35238_5367;48.1119791219, -1.68186449144
Scènes d'hiver;Bretagne;Ille-et-Vilaine;35000;;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_35238_5402;48.1119791219, -1.68186449144
Amis du jazz traditionnel;Auvergne-Rhône-Alpes;Drôme;26790;;Musique;Avant-saison (1er janvier - 20 juin);FEST_26275_5465;44.2556674573, 4.83716476858
Festival Zig Zag;Normandie;Seine-Maritime;76000;2019;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_76540_5529;49.4413460103, 1.09256784278
Festi Wood;Auvergne-Rhône-Alpes;Ardèche;7210;2016;Musique;Saison (21 juin - 5 septembre);FEST_07302_6188;44.6573798022, 4.70779936262
L'image_satellite - festival de photographie contemporaine;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6000;1999;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_06088_4403;43.7119992661, 7.23826889465
Festival du livre de Sète Les Automn'halles;Occitanie;Hérault;34200;2009;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_34301_6347;43.3917705831, 3.64705148296
Le jardin des contes;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6400;;Livre, littérature;Saison (21 juin - 5 septembre);FEST_06029_1228;43.5526202843, 7.00427592728
Un festival au top;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;4004;2015;Musique;Saison (21 juin - 5 septembre);FEST_04070_1958;44.0908723554, 6.23590323452
Afrique en avance;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5230;2018;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_05017_2700;44.5797566279, 6.21267983536
Les rues en musique;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13637;2003;Musique;Saison (21 juin - 5 septembre);FEST_13004_355;43.5468692378, 4.66215642574
Les mots dégelés;Auvergne-Rhône-Alpes;Ardèche;7200;2015;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_07019_414;44.6102127084, 4.39638981424
Les aoûtiennes;Provence-Alpes-Côte d'Azur;Var;83150;2017;Musique;Saison (21 juin - 5 septembre);FEST_83009_600;43.1473544522, 5.74789358398
Les lundis du conservatoire;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6160;;Musique;Avant-saison (1er janvier - 20 juin);FEST_06004_2682;43.587465146, 7.10635418256
Liévin Metal Fest;Hauts-de-France;Pas-de-Calais;62800;2016;Musique;Avant-saison (1er janvier - 20 juin);FEST_62510_3306;50.4242782538, 2.77291885384
24 Heures du Swing;Nouvelle-Aquitaine;Gironde;33580;1989;Musique;Saison (21 juin - 5 septembre);FEST_33289_3962;44.6462089079, 0.0892904208174
Rock en Seine;Île-de-France;Hauts-de-Seine;92210;2003;Musique;Saison (21 juin - 5 septembre);FEST_92064_5718;48.8428741034, 2.20864570316
Détonation;Bourgogne-Franche-Comté;Doubs;25000;2015;Musique;Après-saison (6 septembre - 31 décembre);FEST_25056_759;47.2553872249, 6.01948696494
